route_id,design_source,target_inquiry,paper_id,citation,authors,year,status,venue_or_series,doi,url,verification_level,research_question,setting_sample,treatment_or_exposure,outcomes,data_sources,identification_strategy,fixed_effects_controls,validation_checks,main_findings,claim_source_section,claim_source_locator,limitations,relevance_to_project,open_questions,verified_from,access_date,version_used,included_in_synthesis,ai4ss_model_path,model_id,concept_id,causal_id,bridge_id,ai4ss_check_status,evidence_table_path,compiled_ai4ss_path,evidence_compile_status,evidence_compile_command
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2019_automation_new_tasks,"Acemoglu & Restrepo (2019), Automation and New Tasks: How Technology Displaces and Reinstates Labor","Acemoglu D, Restrepo P",2019,journal_article,Journal of Economic Perspectives,10.1257/jep.33.2.3,https://www.aeaweb.org/articles?id=10.1257/jep.33.2.3,verified_primary,How does automation displace labor and how can new tasks reinstate labor demand?,Theoretical framework; US labor market context,Task-based automation vs. new task creation,"Employment, labor share, productivity",N/A (theoretical),Task-based model (theoretical),N/A (theoretical model),N/A,Automation reduces labor share; new tasks can restore it. Long-run growth depends on the race between automation and new task creation.,abstract_only,JEP abstract and SSRN preprint,Theoretical model; limited direct empirical testing at time of publication,Core theoretical anchor: task-based model of automation displacement vs. new-task reinstatement. Foundation for our channel decomposition.,How to operationalize automation vs new-task channels in cross-country panel with compute as treatment?,"Crossref DOI: 10.1257/jep.33.2.3, AEA page",2026-07-04,Published version (JEP 33.2),needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2018_race_man_machine,"Acemoglu & Restrepo (2018), The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment","Acemoglu D, Restrepo P",2018,journal_article,American Economic Review,10.1257/aer.20160696,https://www.aeaweb.org/articles?id=10.1257/aer.20160696,verified_primary,"What are the implications of automation technology for economic growth, factor shares, and employment?",Theoretical model + US industry data,Automation and new task technologies,"GDP growth, labor share, employment",US BEA and industry data,Task-based model with endogenous technology choice,N/A (calibrated model),Model calibration and robustness,Technology can reduce labor share and employment unless new tasks are created sufficiently fast. The race between automation and new tasks determines growth outcomes.,abstract_only,AER abstract and Crossref,Calibrated model; not direct cross-country empirical test,Theoretical foundation for understanding how compute capacity (as a proxy for automation technology) affects growth through labor share and employment channels.,Does the race framework apply to developing countries with different industrial structures?,Crossref DOI: 10.1257/aer.20160696,2026-07-04,Published version (AER 2018),needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2025_simple_macro_ai,"Acemoglu (2025), The Simple Macroeconomics of AI",Acemoglu D,2025,journal_article,Economic Policy,10.3386/w32487,https://academic.oup.com/economicpolicy/article-abstract/40/121/13/7728473,verified_primary,What are the aggregate macroeconomic effects of AI on productivity and growth?,Macro-level estimates based on task exposure and AI substitution elasticities,AI adoption/task automation,"TFP growth, GDP growth","Occupational task data, AI exposure estimates",Task-based macro model with AI-specific automation elasticities,N/A (macro calibration),Sensitivity to parameter assumptions,AI will increase TFP by ~0.53% over 10 years — modest macro effects. GDP effects are small relative to hype; most gains captured by capital.,abstract_only,Economic Policy abstract and NBER WP,Estimates rely on assumptions about AI substitution elasticities; does not account for new-task creation at scale,"Directly relevant: provides benchmark estimates for AI macro effects. Our study tests whether compute capacity (a real measure, not estimated AI exposure) shows different magnitudes.",Are the modest Acemoglu 2025 estimates due to underestimation of AI's new-task creation channel?,"Crossref DOI: 10.3386/w32487, Oxford EP page",2026-07-04,Published version (Economic Policy 2025),needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2018_ai_automation_work,"Acemoglu & Restrepo (2018), Artificial Intelligence, Automation, and Work","Acemoglu D, Restrepo P",2018,book_chapter,NBER Chapters / The Economics of AI,10.3386/w24196,https://www.nber.org/system/files/chapters/c14027/c14027.pdf,verified_primary,"How does AI affect automation and work, and what are the implications for labor markets?",Theoretical + descriptive; US labor market context,AI as automation technology,"Employment, wages, labor share, productivity",Descriptive; cites existing empirical work,Task-based framework applied to AI,N/A,N/A,AI will affect tasks differently from prior automation: it can automate both routine and non-routine cognitive tasks. The net effect depends on new task creation and productivity effects.,abstract_only,NBER chapter page,Pre-dates GPT-era AI; based on pre-2018 AI capabilities,Pre-GPT benchmark for AI+automation theory. Useful contrast with post-ChatGPT empirical findings.,How much has the ChatGPT/GPT-4 era changed the task-based predictions?,"Crossref DOI: 10.3386/w24196, NBER page",2026-07-04,NBER WP version (2018),needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,restrepo_2024_automation_survey,"Restrepo (2024), Automation: Theory, Evidence, and Outlook",Restrepo P,2024,journal_article,Annual Review of Economics,10.1146/annurev-economics-090523-113355,https://www.annualreviews.org/content/journals/10.1146/annurev-economics-090523-113355,verified_primary,What does the theoretical and empirical literature say about automation's effects on labor markets and productivity?,Survey of theoretical and empirical literature,Automation technologies broadly defined,"Employment, wages, productivity, inequality",Surveys multiple datasets,Literature survey (theory + empirics),N/A (survey),N/A,Automation displaces workers but can increase productivity. The net effect depends on whether new tasks are created and whether displaced workers can transition. Evidence remains mixed on aggregate employment effects.,abstract_only,Annual Review page,Survey article; does not provide new empirical estimates,State-of-the-art survey: situates our compute→growth study within the broader automation literature. Useful for framing and reference list.,How does compute capacity (vs. robots or software) specifically fit into the automation survey's taxonomy?,Crossref DOI: 10.1146/annurev-economics-090523-113355,2026-07-04,Published version (ARE 2024),needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,brynjolfsson_2017_ai_modern_productivity,"Brynjolfsson, Rock & Syverson (2017), Artificial Intelligence and the Modern Productivity Paradox","Brynjolfsson E, Rock D, Syverson C",2017,book_chapter,NBER / Economics of AI,10.3386/w24001,https://www.nber.org/papers/w24001,verified_primary,Why hasn't AI yet produced measurable productivity gains at the macro level despite rapid technological progress?,US macro and industry data,AI as general purpose technology,"Productivity, GDP growth","US BLS, BEA",Descriptive + conceptual (GPT framework),N/A,N/A,"AI faces implementation lags, complementary investment gaps, and measurement problems — similar to earlier GPTs like electricity. Productivity effects may take decades to materialize.",abstract_only,NBER WP page,"Conceptual argument, not causal empirical estimate",Classic AI-productivity-paradox paper. Our study tests whether compute capacity (measurable infrastructure) shows different timing than AI-patent or AI-exposure measures.,Does compute capacity show earlier productivity effects than AI patent/exposure measures due to being an input (not an output) measure?,Crossref DOI: 10.3386/w24001,2026-07-04,NBER WP 24001 (2017),needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,gonzales_2023_ai_innovation_growth,"Gonzales (2023), Implications of AI innovation on economic growth: a panel data study",Gonzales JT,2023,journal_article,Journal of Economic Structures,10.1186/s40008-023-00307-w,https://link.springer.com/article/10.1186/s40008-023-00307-w,verified_primary,Does AI innovation (measured by patents) affect economic growth in a cross-country panel?,unclear from available source,AI patents (WIPO),Economic growth,WIPO AI patent data,unclear from available source,unclear from available source,unclear from available source,"The application of artificial intelligence (AI) across firms and industries warrants a line of research focused on determining its overall effect on economic variables. As a general-purpose technology (GPT), for example, AI helps in the production, marketing, and customer acquisition of firms, increasing their productivity and consumer reach. Aside from these, other effects of AI include enhanced quality of services, improved work accuracy and efficiency, and increased customer satisfaction. Hence, this study aims to gauge the impact of AI on the economy, specifically on long-run economic growth. This study conjectures a positive relationship between AI and economic growth. To test this hypothesis, this study makes use of a panel dataset of countries from 1970 to 2019, and the num",abstract_only,Springer page,unclear from available source,"Most directly comparable existing study: cross-country panel, AI measure → growth. Need full-text to extract methods and compare with our compute-based approach.",What is the identification strategy? FE? GMM? What controls? What countries/years?,"Crossref verified, Springer page",2026-07-04,Published version (J Econ Struct 2023),needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,damioli_2021_ai_labor_productivity,"Damioli, Van Roy & Vertesy (2021), The impact of artificial intelligence on labor productivity","Damioli G, Van Roy V, Vertesy D",2021,journal_article,Eurasian Business Review,10.1007/s40821-020-00172-8,https://link.springer.com/article/10.1007/s40821-020-00172-8,verified_primary,What is the impact of AI patents on labor productivity across countries?,unclear from available source,AI patents,Labor productivity,PATSTAT AI patents,unclear from available source,unclear from available source,unclear from available source,reports positive effects of AI on labor productivity; high-citation (513) benchmark paper,abstract_only,Springer page,unclear from available source,High-citation empirical anchor: AI patents → productivity in cross-country panel. Important to compare patent-based vs. compute-based AI measures.,What panel dimensions? What identification? How does AI patent measure compare to our compute capacity measure?,"Crossref confirmed, Springer page",2026-07-04,Published version (EBR 2021),needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,nguyen_2026_national_ai_strategies,"Nguyen (2026), National AI Strategies and Macroeconomic Performance: A Staggered DID Approach",Nguyen PV,2026,working_paper,SSRN,no_doi: working paper or not indexed,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6580199,secondary_only,"cross-country panel, staggered DID on national AI strategy adoption → GDP growth",unclear from available source,National AI strategy adoption,"GDP growth, macroeconomic performance","National AI strategy data, macro indicators",Staggered DID (Callaway-SantAnna / Sun-Abraham),unclear from available source,unclear from available source,"Governments worldwide have responded to the rise of artificial intelligence by publishing National AI Strategies (NAS), comprehensive policy documents that allocate public R&D funding, establish AI education programs, create governance frameworks, and signal long-term commitment to AI-driven transformation. This paper provides the first cross-country causal evaluation of these policy responses on macroeconomic outcomes. Exploiting the staggered adoption of NAS across 44 countries between 2017 and 2022 as a natural experiment, we estimate the average treatment effect on GDP per capita growth using a balanced panel spanning 2010 to 2024. Our main specification employs the Callaway and Sant’Anna (2021) doubly robust estimator, supplemented by five additional robust estimators. We find a consistent, statistically significant negative effect of NAS adoption on GDP per capita growth of approximately 0.4 to 1.0 percentage points, concentrated at three to four years post-adoption, followed",abstract_only,Crossref/OpenAlex abstract,unclear from available source,Methodologically closest to our design: staggered DID on policy intervention. Important comparator.,unclear from available source,Crossref title search,2026-07-04,as available,needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,verschuere_2026_measuring_ai_productivity,"Verschuere & Cameron (2026), Measuring the Impact of AI on Productivity: Cross-Sectoral Evidence from 18 Economies Post-ChatGPT","Verschuere B, Cameron A",2026,working_paper,SSRN,no_doi: working paper or not indexed,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6663038,secondary_only,"18 economies, post-ChatGPT (2022-2024), cross-sectoral AI productivity impact",unclear from available source,AI adoption (post-ChatGPT),"Productivity (labor, TFP)","Sectoral productivity data, AI exposure",Cross-sectoral panel FE,unclear from available source,unclear from available source,"We measure the impact of artificial intelligence on aggregate productivity from observed sectoral outcomes rather than from forecasts of diffusion. Using a panel difference-in- differences specification on U.S. sectoral productivity data through 2025Q4, with AI exposure measured by the Workflow Completeness construct (C∗) of Verschuere and Cameron (2026a), we estimate that AI is contributing approximately $731 billion per year to U.S. trend productivity growth (95 percent CI [$413B, $1,048B]) across five primary sectors covering roughly 60 percent of GDP, raising aggregate growth on this base to +5.3 percent per year against a +1.3 percent counterfactual. The result is robust to every cluster-robust inference method we test and survives eight alternative- mechanism tests. Extending the methodology to eighteen additional economies, we identify positiv",abstract_only,Crossref/OpenAlex abstract,unclear from available source,Directly estimates AI productivity impact post-ChatGPT. Key empirical comparator for timing of effects.,unclear from available source,Crossref title search,2026-07-04,as available,needs_author,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable:no_evidence_compile,not_applicable:no_evidence_compile,not_applicable,not_run_reason:no_evidence_table
