route_id,design_source,target_inquiry,candidate_id,search_stratum,query_or_seed,title,authors,year,source_type,source_url_or_path,source_status,reason,next_action,relevance_axis,found_from,access_date
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,gonzales_2023_ai_innovation_growth,concept,"(""artificial intelligence"" OR ""AI"") (""economic growth"" OR ""GDP growth"") cross-country panel",Implications of AI innovation on economic growth: a panel data study,Gonzales JT,2023,journal_page,https://link.springer.com/article/10.1186/s40008-023-00307-w,needs_primary_source,高被引(216)跨国面板 AI 专利对增长效应，规模显要,open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,ozili_2026_ai_innovation_growth,concept,"(""artificial intelligence"" OR ""AI"") (""economic growth"" OR ""GDP growth"") cross-country panel","Artificial intelligence (AI) innovation and economic growth: asymmetric analysis and role of stock market, financial stability and trade openness",Ozili PK,2026,journal_page,https://www.emerald.com/jes/article/doi/10.1108/JES-02-2026-0176/1362665,needs_primary_source,2026年新刊，非对称分析框架，含金融/贸易调节,open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,ajuzieogu_cross_country_ai_causal,concept,"(""artificial intelligence"" OR ""AI"") (""economic growth"" OR ""GDP growth"") cross-country panel",Cross-Country Analysis of AI Adoption and Economic Growth: Causal Identification Strategies,Ajuzieogu UC,unknown,working_paper_repository,https://www.researchgate.net/profile/Uchechukwu-Ajuzieogu/publication/392078348,needs_primary_source,直接相关: 跨国 AI 采用与增长的因果识别，潜在方法锚,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,abaab_2026_ai_growth_g20,concept,"(""artificial intelligence"" OR ""AI"") (""economic growth"" OR ""GDP growth"") cross-country panel",Artificial intelligence and economic growth in G20 economies: investigating nonlinear effects through a GMM method,"Abaab MK, Drira M, Helali K",2026,journal_page,https://www.nature.com/articles/s41599-026-07490-8,needs_primary_source,Nature子刊，G20样本，非线性效应+GMM，方法参考,open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,damioli_2021_ai_labor_productivity,concept,"(""AI"" OR ""artificial intelligence"") (""labor productivity"" OR ""total factor productivity"") cross-country panel data",The impact of artificial intelligence on labor productivity,"Damioli G, Van Roy V, Vertesy D",2021,journal_page,https://link.springer.com/article/10.1007/s40821-020-00172-8,needs_primary_source,高被引(513)，跨国AI专利对劳动生产率面板分析,open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,georgieff_2022_ai_employment,concept,"(""AI"" OR ""artificial intelligence"") (""labor productivity"" OR ""total factor productivity"") cross-country panel data",Artificial intelligence and employment: New cross-country evidence,"Georgieff A, Hyee R",2022,journal_page,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2022.832736/full,needs_primary_source,高被引(223)，AI就业效应跨国证据，劳动生产率渠道,open_primary_page,mechanism,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,edquist_2021_iot_growth,concept,"(""computing capacity"" OR ""compute infrastructure"" OR ""supercomputer"" OR ""GPU import"") ""economic growth"" OR ""productivity""",The Internet of Things and economic growth in a panel of countries,"Edquist H, Goodridge P, Haskel J",2021,journal_page,https://www.tandfonline.com/doi/abs/10.1080/10438599.2019.1695941,needs_primary_source,高被引(172)，IoT与经济增长面板，技术基础设施→增长框架参考,open_primary_page,measurement,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,magoutas_2024_digital_growth,concept,"(""computing capacity"" OR ""compute infrastructure"" OR ""supercomputer"" OR ""GPU import"") ""economic growth"" OR ""productivity""",Digital progression and economic growth: Analyzing the impact of ICT advancements on the GDP of European Union countries,"Magoutas AI, Chaideftou M, Skandali D, Chountalas PT",2024,journal_page,https://www.mdpi.com/2227-7099/12/3/63,needs_primary_source,被引92，ICT推进与GDP面板，测量框架参考,open_primary_page,measurement,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,le_2026_ai_replace_labour,concept,"(""AI"" OR ""artificial intelligence"") (""labor productivity"" OR ""total factor productivity"") cross-country panel data",Can artificial intelligence replace human labour? Global evidence from 65 countries,"Le QH, Huynh CM",2026,journal_page,https://www.tandfonline.com/doi/abs/10.1080/00036846.2026.2688439,needs_primary_source,Applied Economics 新刊，65国 AI 替代劳动的实证，核心渠道参考,open_primary_page,mechanism,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,qian_2023_ai_green_growth,concept,"(""AI adoption"" OR ""AI patents"" OR ""industrial robots"") ""economic growth"" OR ""total factor productivity"" country-level",Can artificial intelligence improve green economic growth? Evidence from China,"Qian Y, Liu J, Shi L, Forrest JYL, Yang Z",2023,journal_page,https://link.springer.com/article/10.1007/s11356-022-23320-1,needs_primary_source,被引141，中国层面 AI+绿色增长，机制参考,open_primary_page,mechanism,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2018_ai_automation_work,anchor_author,"Acemoglu Restrepo ""automation"" OR ""robots"" OR ""artificial intelligence"" labor productivity growth","Artificial intelligence, automation, and work","Acemoglu D, Restrepo P",2018,working_paper_repository,https://www.nber.org/system/files/chapters/c14027/c14027.pdf,needs_primary_source,核心理论锚(被引3339)，NBER章，任务型模型+AI自动化+劳动,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2019_automation_new_tasks,anchor_author,"Acemoglu Restrepo ""automation"" OR ""robots"" OR ""artificial intelligence"" labor productivity growth",Automation and new tasks: How technology displaces and reinstates labor,"Acemoglu D, Restrepo P",2019,journal_page,https://www.aeaweb.org/articles?id=10.1257/jep.33.2.3,needs_primary_source,核心理论锚(被引4631)，JEP，自动化替代vs新任务恢复框架,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2018_race_man_machine,anchor_author,"Acemoglu Restrepo ""automation"" OR ""robots"" OR ""artificial intelligence"" labor productivity growth","The race between man and machine: Implications of technology for growth, factor shares, and employment","Acemoglu D, Restrepo P",2018,journal_page,https://www.aeaweb.org/articles?id=10.1257/aer.20160696,needs_primary_source,核心理论锚(被引5165)，AER，技术对各要素份额和就业影响,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2025_simple_macro_ai,anchor_author,"Acemoglu Restrepo ""automation"" OR ""robots"" OR ""artificial intelligence"" labor productivity growth",The simple macroeconomics of AI,Acemoglu D,2025,journal_page,https://academic.oup.com/economicpolicy/article-abstract/40/121/13/7728473,needs_primary_source,核心理论锚(被引1096)，Economic Policy，AI 宏观经济学总量估计,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2018_low_high_skill_automation,anchor_author,"Acemoglu Restrepo ""automation"" OR ""robots"" OR ""artificial intelligence"" labor productivity growth",Low-skill and high-skill automation,"Acemoglu D, Restrepo P",2018,journal_page,https://www.journals.uchicago.edu/doi/abs/10.1086/697242,needs_primary_source,理论锚(被引593)，Journal of Human Capital，高低技能自动化异质效应,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2020_competing_robots_france,anchor_author,"Acemoglu Restrepo ""automation"" OR ""robots"" OR ""artificial intelligence"" labor productivity growth",Competing with robots: Firm-level evidence from France,"Acemoglu D, Lelarge C, Restrepo P",2020,journal_page,https://www.aeaweb.org/articles?id=10.1257/pandp.20201003,needs_primary_source,被引816，机器人采用的企业层面实证，劳动份额和生产率,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,restrepo_2024_automation_survey,anchor_author,"Acemoglu Restrepo ""automation"" OR ""robots"" OR ""artificial intelligence"" labor productivity growth","Automation: Theory, evidence, and outlook",Restrepo P,2024,journal_page,https://www.annualreviews.org/content/journals/10.1146/annurev-economics-090523-113355,needs_primary_source,被引112，Annual Review，自动化理论+实证综述，方法论锚,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,acemoglu_2023_automation_rent,anchor_author,"Acemoglu Restrepo ""automation"" OR ""robots"" OR ""artificial intelligence"" labor productivity growth","Automation and rent dissipation: implications for inequality, productivity, and welfare","Acemoglu D, Restrepo P",2023,working_paper_repository,https://academic.oup.com/qje/advance-article-abstract/doi/10.1093/qje/qjag006/8445541,needs_primary_source,QJE advance，自动化租金耗散+生产率+不平等,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,brynjolfsson_2017_ai_modern_productivity,anchor_author,"Brynjolfsson ""artificial intelligence"" OR ""machine learning"" ""productivity"" OR ""economic growth""",Artificial intelligence and the modern productivity paradox: A clash of expectations and statistics,"Brynjolfsson E, Rock D, Syverson C",2017,working_paper_repository,https://www.nber.org/papers/w24001,needs_primary_source,Brynjolfsson AI 生产率悖论经典论文，AI 与增长关系核心参考,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
